time,bytes
1,1541406.72
2,1677721.6
3,1258291.2
4,1363148.8
5,1468006.4
6,1562378.24
7,1646264.32
8,1730150.4
9,1803550.72
10,1405091.84
11,1530920.96
12,1614807.04
13,1688207.36
14,1740636.16
15,1803550.72
16,1363148.8
17,1468006.4
18,1562378.24
19,1656750.08
20,1740636.16
21,1352663.04
22,1468006.4
23,1562378.24
24,1625292.8
25,1698693.12
26,1258291.2
27,1394606.08
28,1509949.44
29,1593835.52
30,1163919.36
31,1237319.68
32,1289748.48
33,1331691.52
34,1352663.04
35,1363148.8
36,1363148.8
37,1363148.8
38,1363148.8
39,1363148.8
40,1039360.0
41,1142947.84
42,1226833.92
43,1279262.72
44,1321205.76
45,1352663.04
46,1363148.8
47,1363148.8
48,1034240.0
49,1142947.84
50,1216348.16
51,1279262.72
52,1321205.76
53,1342177.28
54,1363148.8
55,1363148.8
56,1363148.8
57,1031168.0
58,1132462.08
59,1216348.16
60,1279262.72
