time,ms
2,4.54
3,2.94
4,2.72
5,2.23
6,3.85
7,6.21
8,4.17
9,4.13
10,4.62
11,3.05
12,4.44
13,5.0
14,5.08
15,5.55
16,5.01
17,3.51
18,4.95
19,3.83
21,-1.0
22,-1.0
23,-1.0
23,-1.0
