time,bps
0,42500000.0
1,44100000.0
2,44400000.0
3,43900000.0
4,43800000.0
5,44200000.0
6,44600000.0
7,44500000.0
8,43700000.0
9,44100000.0
10,44200000.0
11,44200000.0
12,44500000.0
13,43900000.0
14,43700000.0
15,44500000.0
16,44000000.0
17,44400000.0
18,44600000.0
19,43500000.0
20,44000000.0
21,44200000.0
22,44400000.0
23,44400000.0
24,44100000.0
25,44300000.0
26,44500000.0
27,44100000.0
28,44600000.0
29,44100000.0
30,44400000.0
31,44100000.0
32,44500000.0
33,44000000.0
34,44400000.0
35,43900000.0
36,43900000.0
37,43900000.0
38,44300000.0
39,44300000.0
40,44400000.0
41,43700000.0
42,44400000.0
43,44800000.0
44,44100000.0
45,43800000.0
46,44900000.0
47,44300000.0
48,43900000.0
49,44500000.0
50,44000000.0
51,43900000.0
52,44100000.0
53,44400000.0
54,44200000.0
55,44000000.0
56,43900000.0
57,43900000.0
58,44200000.0
59,43700000.0
59,50500000.0
