time,bytes
0,5305794.56
1,5505024.0
2,5546967.04
3,5494538.24
4,5484052.48
5,5525995.52
6,5578424.32
7,5567938.56
8,5463080.96
9,5515509.76
10,5525995.52
11,5525995.52
12,5557452.8
13,5484052.48
14,5463080.96
15,5567938.56
16,5494538.24
17,5546967.04
18,5567938.56
19,5442109.44
20,5494538.24
21,5515509.76
22,5557452.8
23,5546967.04
24,5505024.0
25,5536481.28
26,5567938.56
27,5505024.0
28,5578424.32
29,5515509.76
30,5546967.04
31,5505024.0
32,5557452.8
33,5505024.0
34,5557452.8
35,5494538.24
36,5484052.48
37,5494538.24
38,5536481.28
39,5536481.28
40,5546967.04
41,5452595.2
42,5546967.04
43,5599395.84
44,5505024.0
45,5473566.72
46,5609881.6
47,5536481.28
48,5484052.48
49,5557452.8
50,5494538.24
51,5484052.48
52,5505024.0
53,5546967.04
54,5525995.52
55,5494538.24
56,5494538.24
57,5484052.48
58,5525995.52
59,5463080.96
59,33280.0
