time,ms
0,18.8
1,1.28
2,1.26
3,1.23
4,1.43
5,5.58
6,16.5
7,21.1
8,14.6
9,9.25
10,20.2
11,9.71
12,33.0
13,22.4
14,13.6
15,24.5
16,38.3
17,18.3
18,14.9
19,17.6
20,24.2
21,26.1
22,8.37
23,18.0
24,27.0
25,29.4
26,21.1
27,32.0
28,37.5
29,30.8
30,25.5
31,31.8
32,23.6
33,26.3
34,21.1
35,10.6
36,21.6
37,14.3
38,36.6
39,31.5
40,24.0
41,24.4
42,28.0
43,12.4
44,17.9
45,22.0
46,18.2
47,40.0
48,22.3
49,24.6
50,19.7
51,20.1
52,15.4
53,28.1
54,23.2
55,32.5
56,13.5
57,21.3
58,29.6
59,21.1
60,29.2
61,19.4
62,16.7
63,22.9
64,21.3
