time,bytes
5,3544186.88
6,2799697.92
7,3586129.92
8,2862612.48
9,2936012.8
10,2936012.8
11,3911188.48
12,2936012.8
13,1950351.36
14,2936012.8
15,2936012.8
16,2936012.8
17,1950351.36
18,2936012.8
19,2936012.8
20,2936012.8
21,2086666.24
22,3124756.48
23,3124756.48
24,2086666.24
25,3124756.48
26,3124756.48
27,3124756.48
28,2086666.24
29,3124756.48
30,2086666.24
31,3124756.48
32,2212495.36
33,2348810.24
34,3785359.36
35,2495610.88
36,2621440.0
37,2621440.0
38,3795845.12
39,2495610.88
40,2621440.0
41,2621440.0
42,2621440.0
43,2474639.36
44,2506096.64
45,2621440.0
46,2621440.0
47,2495610.88
48,2495610.88
49,3932160.0
50,1310720.0
51,2621440.0
52,3670016.0
53,2621440.0
54,2621440.0
55,2610954.24
56,2474639.36
57,2506096.64
58,2621440.0
59,2621440.0
60,2495610.88
61,3795845.12
62,2621440.0
63,2621440.0
65,2474639.36
