time,bps
5,28400000.0
6,22400000.0
7,28700000.0
8,22900000.0
9,23500000.0
10,23500000.0
11,31300000.0
12,23500000.0
13,15600000.0
14,23500000.0
15,23500000.0
16,23500000.0
17,15600000.0
18,23500000.0
19,23500000.0
20,23500000.0
21,16700000.0
22,25000000.0
23,25000000.0
24,16700000.0
25,25000000.0
26,25000000.0
27,25000000.0
28,16700000.0
29,25000000.0
30,16700000.0
31,25000000.0
32,17700000.0
33,18800000.0
34,30300000.0
35,19900000.0
36,21000000.0
37,21000000.0
38,30400000.0
39,19900000.0
40,21000000.0
41,21000000.0
42,20900000.0
43,19800000.0
44,20100000.0
45,21000000.0
46,21000000.0
47,19900000.0
48,19900000.0
49,31500000.0
50,10500000.0
51,20900000.0
52,29400000.0
53,21000000.0
54,21000000.0
55,20900000.0
56,19800000.0
57,20100000.0
58,21000000.0
59,21000000.0
60,19900000.0
61,30400000.0
62,21000000.0
63,21000000.0
65,19800000.0
