time,bytes
5,164864.0
6,293888.0
7,430080.0
8,359424.0
9,406528.0
10,308224.0
11,329728.0
12,342016.0
13,345088.0
14,345088.0
15,345088.0
16,349184.0
17,359424.0
18,380928.0
19,412672.0
20,467968.0
21,360448.0
22,418816.0
23,454656.0
24,482304.0
25,496640.0
26,502784.0
27,502784.0
28,502784.0
29,505856.0
30,514048.0
31,530432.0
32,560128.0
33,605184.0
34,455680.0
35,520192.0
36,576512.0
37,420864.0
38,461824.0
39,488448.0
40,503808.0
41,513024.0
42,376832.0
43,433152.0
44,471040.0
45,495616.0
46,506880.0
47,513024.0
48,513024.0
49,513024.0
50,515072.0
51,524288.0
52,542720.0
53,416768.0
54,471040.0
55,505856.0
56,530432.0
57,541696.0
58,545792.0
59,545792.0
60,545792.0
61,549888.0
62,559104.0
63,418816.0
65,320512.0
