time,count
5,10
6,5
7,0
8,5
9,4
10,0
11,0
12,11
13,5
14,3
15,0
16,1
17,0
18,7
19,3
20,0
21,5
22,1
23,0
24,5
25,1
26,0
27,1
28,0
29,8
30,3
31,0
32,8
33,6
34,0
35,5
36,4
37,0
38,3
39,2
40,0
41,1
42,3
43,0
44,8
45,2
46,0
47,1
48,0
49,8
50,1
51,0
52,2
53,1
54,0
55,3
56,3
57,0
58,5
59,0
60,6
61,5
62,1
63,0
64,5
