time,bytes
10,17720934.4
11,16462643.2
12,16462643.2
13,16986931.2
14,16462643.2
15,16567500.8
16,16672358.4
17,16462643.2
18,16462643.2
19,15204352.0
20,0.0
21,0.0
22,0.0
23,0.0
24,3911188.48
25,10800332.8
26,10800332.8
27,10905190.4
28,10905190.4
29,11324620.8
30,11744051.2
31,11010048.0
32,11429478.4
33,11429478.4
34,11324620.8
35,11114905.6
36,11639193.6
37,11639193.6
38,11429478.4
39,11324620.8
40,0.0
41,0.0
42,0.0
43,3858759.68
44,11429478.4
45,11219763.2
46,11324620.8
47,12163481.6
48,11010048.0
49,11114905.6
50,12373196.8
51,11010048.0
52,10695475.2
53,12792627.2
54,11219763.2
55,11534336.0
56,11744051.2
57,11744051.2
58,10485760.0
59,9175040.0
60,2621440.0
61,11744051.2
62,11744051.2
63,10485760.0
64,13107200.0
65,10485760.0
66,11744051.2
67,11744051.2
68,10485760.0
69,11744051.2
