time,bytes
5,35546726.4
6,34078720.0
7,32820428.8
8,32925286.4
9,32820428.8
10,17616076.8
11,16462643.2
12,16462643.2
13,16567500.8
14,16462643.2
15,16462643.2
16,16462643.2
17,16462643.2
18,16462643.2
19,16462643.2
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
69,0.0
