time,bytes
5,332800.0
6,402432.0
7,350208.0
8,305152.0
9,364544.0
10,184320.0
11,192512.0
12,198656.0
13,143360.0
14,153600.0
15,163840.0
16,177152.0
17,189440.0
18,196608.0
19,201728.0
20,1443.84
21,1443.84
22,1443.84
23,1443.84
24,2897.92
25,1443.84
26,1443.84
27,1443.84
28,1443.84
29,1443.84
30,1443.84
31,1443.84
32,1443.84
33,1443.84
34,1443.84
35,1443.84
36,1443.84
37,1443.84
38,1443.84
39,1443.84
40,1443.84
41,1443.84
42,1443.84
43,1443.84
44,1443.84
45,1443.84
46,1443.84
47,1443.84
48,1443.84
49,1443.84
50,1443.84
51,1443.84
52,1443.84
53,1443.84
54,1443.84
55,1443.84
56,1443.84
57,1443.84
58,1443.84
59,1443.84
60,1443.84
61,1443.84
62,1443.84
63,1443.84
69,1443.84
