time,ms
3,3.96
4,2.82
5,2.23
6,1.9
7,5.51
8,5.92
9,5.78
10,3.69
11,5.93
12,4.81
13,4.7
14,5.19
15,5.1
16,5.29
17,4.82
18,4.2
19,5.04
20,4.33
21,-1.0
22,-1.0
23,-1.0
24,-1.0
24,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
